nm0000001,Fred Astaire
nm0405632,Mikael Håfström
nm0405977,Paul Hörbiger
nm0407094,Eugene Iglesias
nm0407850,Barna Illyés
nm0407970,Igor Ilyinsky
nm0408025,Kenji Imai
nm0408189,Gary Imhoff
nm0408937,Lloyd Ingraham
nm0409869,John Ireland
nm0410139,John Irvin
nm0410273,George S. Irving
nm0410464,Tom Irwin
nm0410769,Robert Iscove
nm0410968,Akira Ishihama
nm0411757,Takeshi Itô
nm0411790,Shigesato Itoi
nm0412322,Burl Ives
nm0413168,Hugh Jackman
nm0413875,Mick Jackson
nm0414312,Alan Jacobs
nm0414996,Joseph Jacoby
nm0415016,Scott Jacoby
nm0415395,Hannes Jaenicke
nm0415488,Sam Jaffe
nm0415591,Dean Jagger
nm0415617,Henry Jaglom
nm0416228,Sidney James
nm0416258,Alan James
nm0416378,Clifton James
nm0416673,Kevin James
nm0417054,Jerry Jameson
nm0417708,Annabel Jankel
nm0418148,David Janssen
nm0418741,Claude Jarman Jr.
nm0418883,Kevin Jarre
nm0418911,Jerry Jarrett
nm0418986,Charles Jarrott
nm0419265,Leigh Jason
nm0420765,Allen Jenkins
nm0420955,Richard Jenkins
nm0421028,Frank Jenks
nm0421105,Alex Jennings
nm0421675,Shelley Jensen
nm0421776,Vicky Jenson
nm0422484,Norman Jewison
nm0423086,Tao Jin
nm0423333,Phil Joanou
nm0423589,Mike Joens
nm0423646,Roland Joffé
nm0424565,Ben Johnson
nm0424635,Brad Johnson
nm0424819,Corey Johnson
nm0425364,Jesse V. Johnson
nm0425593,Lamont Johnson
nm0425756,Mark Steven Johnson
nm0425913,Nunnally Johnson
nm0426062,Richard Johnson
nm0426157,Russell Johnson
nm0426547,Bobby Johnston
nm0426665,John Dennis Johnston
nm0426666,J.J. Johnston
nm0427157,I. Stanford Jolley
nm0427389,Sam Jones III
nm0427503,Anthony Michael Jones
nm0427659,Buck Jones
nm0427880,David Hugh Jones
nm0427894,Dean Jones
nm0428600,Kirk Jones
nm0428618,L.Q. Jones
nm0428933,Nicholas Jones
nm0429958,Glenn Jordan
nm0430074,Leslie Jordan
nm0430107,Michael B. Jordan
nm0430151,Richard Jordan
nm0430234,Daniel Jordano
nm0430460,Victor Jory
nm0430695,Rowan Joseph
nm0430746,Erland Josephson
nm0430870,Allyn Joslyn
nm0431139,Louis Jourdan
nm0431795,Kevin Jubinville
nm0432007,Curd Jürgens
nm0433439,Pál Jávor
nm0433588,Óskar Jónasson
nm0433986,Sebastian Kaatrasalo
nm0434571,Jeremy Kagan
nm0436132,László Kalmár
nm0436639,Tsunehiko Kamijô
nm0437356,Joseph Kane
nm0437717,Garson Kanin
nm0437802,Ellie Kanner
nm0438223,David Kaplan
nm0439107,László Kardos
nm0439170,James Karen
nm0439597,Phil Karlson
nm0439776,Bill Karn
nm0439850,Roscoe Karns
nm0440090,Alex Karras
nm0440229,Vincent Kartheiser
nm0440799,Sam Henry Kass
nm0440913,Mathieu Kassovitz
nm0441069,Kurt Kasznar
nm0441085,George Katt
nm0441540,Tomoharu Katsumata
nm0441746,Joey Katz
nm0441914,Lee H. Katzin
nm0442241,Philip Kaufman
nm0442454,Aki Kaurismäki
nm0443181,Stephen Kay
nm0443730,Tim Kazurinsky
nm0443856,James Keane
nm0444198,Steven Keats
nm0444476,Howard Keel
nm0444584,Geoffrey Keen
nm0445316,Warren Keith
nm0445523,Cecil Kellaway
nm0445868,Barry Kelley
nm0446037,Mike Kellin
nm0446129,Ray Kellogg
nm0446414,Gregory Kelly
nm0446438,Jack Kelly
nm0446593,Lew Kelly
nm0446769,Paul Kelly
nm0447580,Cy Kendall
nm0447868,Philip Kenneally
nm0447913,Arthur Kennedy
nm0447944,Burt Kennedy
nm0448004,Douglas Kennedy
nm0449466,Joey Kern
nm0449984,Irvin Kershner
nm0450130,Lance Kerwin
nm0451190,Bismillah Khan
nm0451396,Vinod Khanna
nm0451869,Levan Khotivari
nm0452128,Guy Kibbee
nm0452129,Jefferson Kibbee
nm0452607,Fritz Kiersch
nm0453245,Edward Killy
nm0454120,Takuya Kimura
nm0454171,Peder Kinberg
nm0454418,Alan King
nm0454521,Brian King
nm0454771,Henry King
nm0455731,David Kinney
nm0455767,Terry Kinney
nm0456732,Karey Kirkpatrick
nm0457586,Kin'ya Kitaôji
nm0457655,Michael Kitchen
nm0458738,Erik S. Klein
nm0459032,Willy A. Kleinau
nm0459170,Randal Kleiser
nm0459801,Werner Klingler
nm0460141,Steve Kloves
nm0460206,Brian Klugman
nm0461549,Patric Knowles
nm0461594,Alexander Knox
nm0461679,Terence Knox
nm0462013,Keiju Kobayashi
nm0462030,Masaki Kobayashi
nm0462322,Howard W. Koch
nm0464846,Andrey Konchalovskiy
nm0465462,Kern Konwiser
nm0466428,Jacob Kornbluth
nm0466430,Josh Kornbluth
nm0466773,Bob Kortman
nm0466793,John Korty
nm0467396,Henry Koster
nm0467646,Ted Kotcheff
nm0467942,Jim Kouf
nm0468237,Ernie Kovacs
nm0469434,Saveliy Kramarov
nm0469823,Fran Kranz
nm0471601,Anders Baasmo Christiansen
nm0472603,Otto Kruger
nm0472816,Jack Kruschen
nm0473228,Hardy Krüger
nm0473516,Christopher Kublan
nm0474539,Buzz Kulik
nm0474553,Georgiy Kulikov
nm0474651,Victor Kulle
nm0474859,Rakesh Kumar
nm0475610,Leonid Kuravlyov
nm0476223,Takeshi Kusao
nm0477127,Ryan Kwanten
nm0477129,Ken Kwapis
nm0477702,Helmut Käutner
nm0478800,Denys de La Patellière
nm0479011,Jack La Rue
nm0479471,Shia LaBeouf
nm0480046,Harry Lachman
nm0480798,James Lafferty
nm0482670,Ngai Choi Lam
nm0484645,Lew Landers
nm0484901,Michael Landon Jr.
nm0485229,Andrew Lane
nm0485518,Richard Lane
nm0485637,Eric Laneuville
nm0485647,Sidney Lanfield
nm0485943,Walter Lang
nm0485977,Glenn Langan
nm0486742,Paul Langton
nm0488295,John Francis Larkin
nm0491590,Ed Lauter
nm0491714,Mario Laval
nm0491852,Arnold Laven
nm0492215,George LaVoo
nm0493031,Steve Lawrence
nm0493200,Denis Lawson
nm0493508,Claude Laydu
nm0494110,Reginald Le Borg
nm0494432,Paul Le Mat
nm0494885,Philip Leacock
nm0496473,Francis Lederer
nm0496505,D. Ross Lederman
nm0496746,J. Lee Thompson
nm0496889,Billy Lee
nm0497097,Danny Lee
nm0497528,Jieho Lee
nm0498174,Rowland V. Lee
nm0498457,William Gregory Lee
nm0499223,Lance LeGault
nm0500273,Nelson Leigh
nm0500552,Mitchell Leisen
nm0500988,Claude Lelouch
nm0501183,Harvey Lembeck
nm0501419,James Lemmo
nm0502639,Herbert B. Leonard
nm0502752,Robert Z. Leonard
nm0502893,John Leone
nm0503627,Michael Lerner
nm0503777,Mervyn LeRoy
nm0504495,Mark L. Lester
nm0504513,Richard Lester
nm0504803,Al Lettieri
nm0504962,Ken Leung
nm0505249,Sam Levene
nm0505415,William A. Levey
nm0505420,Alan J. Levi
nm0505610,Henry Levin
nm0506423,Gerry Levy
nm0506797,Albert Lewin
nm0507212,Geoffrey Lewis
nm0507390,Joseph H. Lewis
nm0507673,Robert Lewis
nm0507690,Robert Michael Lewis
nm0509028,Demian Lichtenstein
nm0510134,Paul Lukas
nm0510630,André Lima
nm0510887,Andrew Lin
nm0511349,Chad Lindberg
nm0511599,Eric Linden
nm0512052,Eleanore Lindo
nm0512305,Robert Lindsay
nm0513598,David Lipper
nm0513731,Dennis Lipscomb
nm0513974,Steven Lisberger
nm0514822,Anatole Litvak
nm0515260,John Livingston
nm0515491,Carlo Lizzani
nm0515950,Danny Lloyd
nm0516215,Tony Lo Bianco
nm0516316,Lieh Lo
nm0516628,Philip Loch
nm0516865,Calvin Lockhart
nm0516876,Gene Lockhart
nm0516972,Gary Lockwood
nm0517099,John Lodge
nm0517264,Louis R. Loeffler
nm0517514,Bob Logan
nm0517597,Joshua Logan
nm0517659,Stanley Logan
nm0518192,José Antonio de la Loma
nm0518422,Giovanni Lombardo Radice
nm0518719,Jerry London
nm0519274,John Longden
nm0520488,Phil Lord
nm0521811,'Ducky' Louie
nm0522181,Nick Louvel
nm0522324,Faizon Love
nm0522393,Nick Love
nm0522481,Frank Lovejoy
nm0523439,Nanni Loy
nm0523893,Arthur Lubin
nm0524197,Josh Lucas
nm0524240,Matt Lucas
nm0524995,Edward Ludwig
nm0525303,Baz Luhrmann
nm0525403,James Luisi
nm0525518,Florian Lukas
nm0525599,Jorge Luke
nm0525742,Wolfgang Lukschy
nm0525794,Piero Lulli
nm0526184,John Lund
nm0527002,Federico Luppi
nm0527099,John Lurie
nm0527109,Rod Lurie
nm0528705,Jeffrey Lynn
nm0529150,Robert F. Lyons
nm0529733,Raoul Lévy
nm0530980,Gary Maas
nm0531056,Scott Mabbutt
nm0531095,Eric Mabius
nm0531279,James MacArthur
nm0531489,Gianni Macchia
nm0531759,J. Farrell MacDonald
nm0531962,Wallace MacDonald
nm0532561,Gustav Machatý
nm0532683,Gabriel Macht
nm0533013,James McEachin
nm0533284,David Mackenzie
nm0533334,John Mackenzie
nm0533692,Barton MacLane
nm0533907,John-Paul Macleod
nm0534045,Fred MacMurray
nm0534317,George Macready
nm0534972,Guy Madison
nm0535861,Patrick Magee
nm0536299,Albert Magnoli
nm0536630,Sean Maguire
nm0536781,George Maharis
nm0537046,Shiek Mahmud-Bey
nm0538683,Mako
nm0538869,Patrick Malahide
nm0538938,Curzio Malaparte
nm0539871,Alf Malland
nm0540139,Brendan Malloy
nm0540148,Emmett Malloy
nm0541149,Rouben Mamoulian
nm0541509,Ray 'Boom Boom' Mancini
nm0541576,Nick Mancuso
nm0541677,Robert Mandel
nm0541902,Aasif Mandvi
nm0542063,Nino Manfredi
nm0542450,Ethan Maniquis
nm0542649,Anthony Mann
nm0542702,Daniel Mann
nm0542706,Danny Mann
nm0542720,Delbert Mann
nm0542759,Gabriel Mann
nm0543188,Ettore Manni
nm0543547,Predrag 'Miki' Manojlovic
nm0543647,Manousos Manousakis
nm0545099,Robert Marcarelli
nm0545298,Fredric March
nm0545352,Georges Marchal
nm0546153,Mitch Marcus
nm0546172,Richard Marcus
nm0546672,Antonio Margheriti
nm0546797,Mark Margolis
nm0547364,Marietto
nm0547446,Edwin L. Marin
nm0547544,Ed Marinaro
nm0547578,Sonny Marinelli
nm0547975,George F. Marion
nm0548449,Monte Markham
nm0548533,Peter Markle
nm0549280,Hugh Marlowe
nm0549283,James Marlowe
nm0549658,Richard Marquand
nm0550701,Alan Marshal
nm0550892,George Marshall
nm0551171,Sean Marshall
nm0551222,Tully Marshall
nm0551337,Joel Marston
nm0552058,Charles Martin
nm0552086,Christopher Martin
nm0552483,Jean Martin
nm0552955,Richard Martin
nm0553014,Ross Martin
nm0553020,Rudolf Martin
nm0553440,Adrian Martinez
nm0553662,Philippe Martinez
nm0554169,Leslie H. Martinson
nm0554249,Andrew Marton
nm0556296,Tumisho Masha
nm0556813,LeRoy Mason
nm0556985,Tom Mason
nm0557339,Raymond Massey
nm0557407,Paul Massie
nm0557751,Peter Masterson
nm0557857,Armand Mastroianni
nm0557956,Richard Masur
nm0558726,Thom Mathews
nm0559444,Yôji Matsuda
nm0560927,J. Stephen Maunder
nm0561813,Ron Maxwell
nm0561938,Elaine May
nm0562004,Joe May
nm0562305,Eddie Mayehoff
nm0562845,Archie Mayo
nm0563220,Zola Maseko
nm0563243,Dan Mazer
nm0563687,Sal Mazzotta
nm0564319,Jim McBride
nm0564970,Leo McCarey
nm0565292,Peter McCarthy
nm0565366,Jesse McCartney
nm0566584,Myron McCormick
nm0566671,George McCowan
nm0566809,Sylvester McCoy
nm0566948,Joel McCrea
nm0567506,Dean McDermott
nm0567757,Frank McDonald
nm0567957,Ray McDonald
nm0568546,Vincent McEveety
nm0568915,William C. McGann
nm0569166,Scott McGehee
nm0569226,Bruce McGill
nm0569410,John McGiver
nm0569465,Frank McGlynn Jr.
nm0569645,J.P. McGowan
nm0569732,Michael McGrady
nm0569902,Charles McGraw
nm0570139,Paul McGuinness
nm0570190,Don McGuire
nm0570385,Stephen McHattie
nm0570451,Frank McHugh
nm0570615,John McIntire
nm0571186,Lafe McKee
nm0571205,Raymond McKee
nm0571630,Doug McKeon
nm0571727,Kevin McKidd
nm0571853,Bill McKinney
nm0572132,Andrew V. McLaglen
nm0572142,Victor McLaglen
nm0572279,Bill McLaughlin
nm0572800,Duncan McLeod
nm0572808,Gordon McLeod
nm0573140,James McManus
nm0573299,Kenneth McMillan
nm0573401,Jim McMullan
nm0573481,Sam McMurray
nm0573640,Stephen McNally
nm0573732,Sean McNamara
nm0573796,John McNaughton
nm0573830,Howard McNear
nm0573862,Ian McNeice
nm0574238,John McPherson
nm0574433,Frank McRae
nm0574468,Gerald McRaney
nm0574625,James McTeigue
nm0575081,Stephen Meadows
nm0575389,Peter Medak
nm0575865,Mark Medoff
nm0576127,Ralph Meeker
nm0576454,Mehmood
nm0576537,Aalok Mehta
nm0576542,Anurag Mehta
nm0576851,John Meillon
nm0579466,Ramón Menéndez
nm0579663,Adolphe Menjou
nm0579690,Nina Menkes
nm0580017,William Cameron Menzies
nm0580565,Burgess Meredith
nm0580882,Philip Merivale
nm0581005,Jan Merlin
nm0581282,Gary Merrill
nm0581365,Ryan Merriman
nm0581611,John Merton
nm0582462,Jesse Metcalfe
nm0582635,Alan Metter
nm0582773,Jim Metzler
nm0583600,Nancy Meyers
nm0583675,Menno Meyjes
nm0583754,Eric Meza
nm0585481,Charles Middleton
nm0585553,Ray Middleton
nm0586482,Nikita Mikhalkov
nm0586733,Rentarô Mikuni
nm0587216,Ray Myles
nm0587277,Lewis Milestone
nm0587401,Tomas Milian
nm0587518,John Milius
nm0587637,Victor Millan
nm0587669,Gavin Millar
nm0587706,Stuart Millar
nm0587741,Nick Millard
nm0587944,Barry Miller
nm0588033,Carl Miller
nm0588087,Christopher Miller
nm0588183,David Miller
nm0588553,Jason Miller
nm0589228,Robert Ellis Miller
nm0589494,Walter Miller
nm0590122,Mike Mills
nm0591142,Allen H. Miner
nm0591486,Vincente Minnelli
nm0592490,Andrey Mironov
nm0593192,Cameron Mitchell
nm0593610,Mike Mitchell
nm0593612,Millard Mitchell
nm0593775,Thomas Mitchell
nm0593848,James Mitchum
nm0594271,Akihiro Miwa
nm0594301,Jamal Mixon
nm0594302,Jerod Mixon
nm0594503,Hayao Miyazaki
nm0595567,Donald Moffat
nm0595804,Léonide Moguy
nm0596571,Rafael Moleón
nm0597235,Robert Moloney
nm0598971,Yves Montand
nm0599328,Donnie Montemarano
nm0599624,Jorge Montesi
nm0599787,George Montgomery
nm0599910,Robert Montgomery
nm0601117,Dennis Moore
nm0601377,Fabio Testi
nm0601382,John Moore
nm0601800,Robert Moore
nm0603646,Mantan Moreland
nm0604605,Dennis Morgan
nm0604656,Frank Morgan
nm0604702,Harry Morgan
nm0604711,Henry Morgan
nm0604742,Jeffrey Dean Morgan
nm0604960,Ralph Morgan
nm0605059,Terence Morgan
nm0605363,Michael Moriarty
nm0605797,Shûichirô Moriyama
nm0606431,Chester Morris
nm0606487,Dean Norris
nm0606847,Paul Morris
nm0606998,Wayne Morris
nm0607407,Paul Morrissey
nm0608084,Rocky Morton
nm0608632,William R. Moses
nm0608909,Arnold Moss
nm0608936,Craig Moss
nm0609236,Jonathan Mostow
nm0609748,Marcel Mouloudji
nm0610303,John Llewellyn Moxey
nm0610831,Gabriele Muccino
nm0611531,Hrishikesh Mukherjee
nm0611561,Shailen Mukherjee
nm0611575,Swapan Mukherjee
nm0611804,Jack Mulhall
nm0612322,Robert Mulligan
nm0612743,Herbert Mundin
nm0613197,Jan Munroe
nm0613833,Fredi M. Murer
nm0614165,Cillian Murphy
nm0614276,Geoff Murphy
nm0614730,Steve Murphy
nm0614916,Don Murray
nm0615063,Joel Murray
nm0615231,Rich Murray
nm0615247,Robin P. Murray
nm0615306,Tom Murray
nm0615617,Clarence Muse
nm0615868,Bernard Vorhaus
nm0616556,Andrey Myagkov
nm0616729,Harry Myers
nm0617130,Daniel Myrick
nm0618177,Hanspeter Müller
nm0619762,Mira Nair
nm0619798,J. Carrol Naish
nm0619802,Laurence Naismith
nm0619966,Nobuo Nakagawa
nm0621002,Alan Napier
nm0621034,Neil Napier
nm0621840,Lee Nashold
nm0621932,Foued Nassah
nm0621993,Julius R. Nasso
nm0622409,Isao Natsuyagi
nm0622544,David Naughton
nm0622860,Demetrius Navarro
nm0623214,Gorô Naya
nm0623715,Mark Neale
nm0623768,Ronald Neame
nm0624102,Hal Needham
nm0624242,William Neenan
nm0624535,Jean Negulesco
nm0625099,Nelly
nm0625379,Gary Nelson
nm0625680,Ralph Nelson
nm0625699,Ricky Nelson
nm0625789,Tim Blake Nelson
nm0625904,Cristian Nemescu
nm0626259,Franco Nero
nm0627511,Vyacheslav Nevinnyy
nm0627878,Bob Newhart
nm0627956,Michael Newland
nm0628611,Wayne Newton
nm0629418,Paul Nicholas
nm0630197,Sergiu Nicolaescu
nm0631438,William Nigh
nm0631490,Bill Nighy
nm0631799,Nikos Nikolaidis
nm0631994,Yuriy Nikulin
nm0632457,Merab Ninidze
nm0632757,Kô Nishimura
nm0632970,Ivan Nitchev
nm0633228,DeVaughn Nixon
nm0634159,Philippe Noiret
nm0634240,Christopher Nolan
nm0634313,Lloyd Nolan
nm0634509,Brawley Nolte
nm0634601,Takashi Nomura
nm0635139,Jeffrey Nordling
nm0635330,Eduardo Noriega
nm0635760,Aaron Norris
nm0636165,Bill Norton
nm0636694,Michael Nouri
nm0636839,Frank Novak
nm0636940,Ante Novakovic
nm0637441,Tom Nowicki
nm0637789,Edward J. Nugent
nm0637790,Elliott Nugent
nm0638067,Larry Nunn
nm0639321,Dan O'Bannon
nm0639366,Frédéric O'Brady
nm0639385,Hugh O'Brian
nm0639529,Edmond O'Brien
nm0640023,Arthur O'Connell
nm0640031,Brian James O'Connell
nm0640078,Hugh O'Connell
nm0640307,Donald O'Connor
nm0640334,Gavin O'Connor
nm0640486,Raymond O'Connor
nm0641343,Terrence O'Hara
nm0641389,Jim O'Heir
nm0641397,Dan O'Herlihy
nm0641400,Michael O'Herlihy
nm0641454,Dennis O'Keefe
nm0641929,Patrick O'Neal
nm0642429,Cyril O'Reilly
nm0642671,Michael O'Shea
nm0642988,Jack Oakie
nm0643000,Simon Oakland
nm0643048,Wheeler Oakman
nm0643105,Warren Oates
nm0643422,Michael Oblowitz
nm0643647,Andrea Occhipinti
nm0644131,George T. Odom
nm0644203,Steve Oedekerk
nm0645549,Takao Okawara
nm0646987,Ron Oliver
nm0648410,Aleksandre Omiadze
nm0650961,Artie Ortego
nm0652631,Gerd Oswald
nm0653942,Frank Overton
nm0654239,Reginald Owen
nm0656108,Anthony Page
nm0656465,Arturo Paglia
nm0656889,Melissa Painter
nm0657162,George Pal
nm0657874,Eugene Pallette
nm0659085,Norman Panama
nm0659454,Rithy Panh
nm0659461,Corrado Pani
nm0660311,Anatoliy Papanov
nm0660873,Giulio Paradisi
nm0660886,Sergei Parajanov
nm0661577,Jerry Paris
nm0662086,Bradley Parker
nm0662219,Eddie Parker
nm0662700,Willard Parker
nm0662981,Michael Parks
nm0663577,Robert Parrish
nm0664273,Cornel Wilde
nm0664499,Adrian Pasdar
nm0664514,Martin Pasetta
nm0664852,Ivan Passer
nm0665327,Michael Pate
nm0666273,John Patterson
nm0666274,John Patterson
nm0666802,Don Paul
nm0667133,Morgan Paull
nm0668023,Edward Pawley
nm0668361,John Payne
nm0668667,Alfredo Pea
nm0668702,Joshua Peace
nm0669004,Richard Pearce
nm0670282,Larry Peerce
nm0670658,Stefan Pejchev
nm0670964,Raymond Pellegrin
nm0671210,Mark Pellington
nm0671567,Michael Peña
nm0671721,Austin Pendleton
nm0671992,Matthew Penn
nm0672242,Joe Penny
nm0673512,Jack Perez
nm0673526,José Pérez
nm0674019,Osgood Perkins
nm0674782,Harold Perrineau
nm0675068,Frank Perry
nm0675257,Pinchas Perry
nm0675490,Nehemiah Persoff
nm0676194,Pirkka-Pekka Petelius
nm0676928,Paul Petersen
nm0677962,Howard Petrie
nm0678928,Joseph Pevney
nm0680629,Maurice Phillips
nm0680667,Nathan Phillips
nm0681635,Irving Pichel
nm0681665,Joe Pichler
nm0682063,Jim Piddock
nm0682074,Walter Pidgeon
nm0682744,Carl Pierson
nm0682757,Frank Pierson
nm0684336,Steve Pink
nm0684460,Emil Pinnock
nm0684521,Gordon Pinsent
nm0685789,Glen Pitre
nm0686568,Scott Plank
nm0687146,Jesse Plemons
nm0687384,Allen Plone
nm0688361,Bill Pohlad
nm0689237,Jon Polito
nm0689852,John Polson
nm0689894,Aleksey Poluyan
nm0690770,DJ Pooh
nm0690880,Roy Poole
nm0691061,Jim Wynorski
nm0692045,Bobby Porter
nm0692530,Carlos Portugal
nm0694090,Dick Powell
nm0694112,Esteban Powell
nm0695333,Jean-Yves Prate
nm0695489,Judson Pratt
nm0695937,Otto Preminger
nm0696169,Brian Presley
nm0696193,Harve Presnell
nm0696481,Robert Preston
nm0696725,Alessandro Preziosi
nm0697587,Barry Primus
nm0697656,Gina Prince-Bythewood
nm0697733,William Prince
nm0697785,Andrew Prine
nm0697935,David A. Prior
nm0697961,Ted Prior
nm0698405,Marland Proctor
nm0698541,Gigi Proietti
nm0698998,David Proval
nm0699430,Roger Pryor
nm0700127,Mikhail Pugovkin
nm0700711,Dick Purcell
nm0700715,Evelyn Purcell
nm0700803,Edmund Purdom
nm0700856,James Purefoy
nm0701030,Michael Purvis
nm0702798,John Qualen
nm0703033,Anthony Quayle
nm0703368,Giulio Questi
nm0703491,Charles Quigley
nm0703600,Eddie Quillan
nm0703689,Richard Quine
nm0704164,Gene Quintano
nm0704719,Francisco Rabal
nm0705444,Fons Rademakers
nm0705675,Robert Radler
nm0706182,Bob Rafelson
nm0706296,Stewart Raffill
nm0706368,George Raft
nm0708903,Lynne Ramsay
nm0709466,John Rand
nm0709681,Ron Randell
nm0709752,Tony Randel
nm0709907,John Randolph
nm0710230,Arthur Rankin Jr.
nm0710919,Jean-Paul Rappeneau
nm0711058,David Rasche
nm0711855,Gregory Ratoff
nm0712731,Aldo Ray
nm0712935,Michel Ray
nm0712947,Nicholas Ray
nm0713209,Bill Raymond
nm0713270,Gene Raymond
nm0714878,Michael Redgrave
nm0715274,Jerry Reed
nm0715284,Alan Reed
nm0715346,Carol Reed
nm0715636,Peyton Reed
nm0715748,Walter Reed
nm0715953,Roger Rees
nm0716501,George Regas
nm0717146,Billy Rieck
nm0717212,Christopher Reid
nm0717452,Tim Reid
nm0717650,Charles Nelson Reilly
nm0718243,Harald Reinl
nm0718321,Irving Reis
nm0718466,Dean Riesner
nm0718469,Charles Reisner
nm0718554,Karel Reisz
nm0718645,Ivan Reitman
nm0719692,Michael Rennie
nm0719738,Kelly Reno
nm0719749,Pierre Renoir
nm0719756,Jean Renoir
nm0720000,Norman René
nm0720568,Tommy Rettig
nm0721949,Sheldon Reynolds
nm0721999,William Reynolds
nm0722221,Phillip Rhee
nm0722424,Erik Rhodes
nm0722636,John Rhys-Davies
nm0722661,Ralph Riach
nm0723629,David Lowell Rich
nm0723685,Matty Rich
nm0723704,Richard Rich
nm0724059,Dick Richards
nm0724224,Lou Richards
nm0724268,Paul Richards
nm0724604,John Henry Richardson
nm0724656,Kevin Michael Richardson
nm0724927,William Richert
nm0725052,Peter Mark Richman
nm0725173,Warner Richmond
nm0725220,Daniel Richter
nm0725543,Don Rickles
nm0725844,Martin Good Rider
nm0726200,Peter Riegert
nm0726223,Richard Riehle
nm0726472,Adam Rifkin
nm0727211,Wolf Rilla
nm0727999,Arthur Ripley
nm0728189,Leidulv Risan
nm0728688,Martin Ritt
nm0728762,Jason Ritter
nm0729473,Jorge Rivero
nm0729582,Victor Rivers
nm0730126,Adam Roarke
nm0730168,Sam Robards
nm0730500,Mike Robe
nm0731490,Pernell Roberts
nm0731596,Stephen Roberts
nm0731772,Cliff Robertson
nm0732497,Craig Robinson
nm0732717,Jay Robinson
nm0733476,Mark Robson
nm0733678,Alex Rocco
nm0734319,Alexandre Rockwell
nm0734340,Jack Rockwell
nm0734442,James Roday
nm0734467,Allison Roddan
nm0735471,Percy Rodrigues
nm0736263,Daniel Roebuck
nm0736610,Albert S. Rogell
nm0736622,Seth Rogen
nm0737257,Wayne Rogers
nm0737830,Manuel Rojas
nm0737924,Gustavo Rojo
nm0738042,Gilbert Roland
nm0738399,Pascal Rollin
nm0738850,Andy Romano
nm0740067,Maurice Ronet
nm0740718,Hayden Rorke
nm0742341,Stuart Rosenberg
nm0742471,Ralph Rosenblum
nm0743768,Ricco Ross
nm0744023,Roberto Rossellini
nm0744035,Robert Rossen
nm0744326,Steve Rossi
nm0744504,Arthur Rosson
nm0744514,Richard Rosson
nm0744794,Bobby Roth
nm0744834,Eli Roth
nm0745700,Raymond Rouleau
nm0745780,Richard Roundtree
nm0745866,Russell Rouse
nm0746740,Roy Rowland
nm0747849,Joseph Ruben
nm0748979,Oscar Rudolph
nm0749476,Charles Ruggles
nm0749484,Wesley Ruggles
nm0750481,Randy Rupp
nm0750701,Richard Rush
nm0750758,Jared Rushton
nm0750852,Robert Rusler
nm0751032,Bing Russell
nm0751062,Charles Russell
nm0751080,Chuck Russell
nm0751102,David O. Russell
nm0751221,Jay Russell
nm0751567,Aaron Russo
nm0751638,James Russo
nm0751802,Richard Rust
nm0752751,Mitchell Ryan
nm0752813,Robert Ryan
nm0752922,Eldar Ryazanov
nm0753068,Christopher Rydell
nm0753073,Mark Rydell
nm0753314,Mark Rylance
nm0753479,Chishû Ryû
nm0754512,Daryl Sabara
nm0754817,Gabriel Sabloff
nm0754942,Sabu
nm0755963,Boris Sagal
nm0756251,Luis Saguar
nm0757064,S.Z. Sakall
nm0757858,Carlos Saldanha
nm0757925,Charles 'Chic' Sale
nm0758066,Enrico Maria Salerno
nm0758394,Vicente Verneros Salinas
nm0758413,Matt Salinger
nm0758436,Benjamin Salisbury
nm0758508,Sidney Salkow
nm0758722,Esko Salminen
nm0759207,Victor Salva
nm0759410,Hal Salwen
nm0759574,Bernard Salzmann
nm0760701,Conrado San Martín
nm0761521,Deion Sanders
nm0761836,William Sanderson
nm0761866,Tiny Sandford
nm0762153,Miguel Sandoval
nm0762263,Mark Sandrich
nm0762560,Garwin Sanford
nm0762688,Gerson Sanginitto
nm0762805,Jorge Sanjinés
nm0763928,Rodrigo Santoro
nm0764781,Richard C. Sarafian
nm0765121,Joseph Sargent
nm0765430,Joseph W. Sarno
nm0765546,Michael Sarrazin
nm0765597,Peter Sarsgaard
nm0766211,Hisayasu Satô
nm0767339,Mark Savage
nm0767701,Victor Saville
nm0767890,Leopoldo Savona
nm0768050,Tadashi Sawashima
nm0768178,Joe Sawyer
nm0768249,Geoffrey Sax
nm0768334,John Saxon
nm0768957,Claire Scanlon
nm0769349,Romano Scavolini
nm0769522,Steven Schachter
nm0769585,Armand Schaefer
nm0769615,George Schaefer
nm0769874,Franklin J. Schaffner
nm0769974,William Schallert
nm0771584,Joseph Schildkraut
nm0772428,Zander Schloss
nm0773603,Julian Schnabel
nm0773884,John Schneider
nm0775438,Erik Schrody
nm0776239,Dwight Schultz
nm0777432,Scott Schwartz
nm0777435,Scott L. Schwartz
nm0777649,Simon Schwarz
nm0777788,Matthias Schweighöfer
nm0777881,Robert Schwentke
nm0778633,Ettore Scola
nm0779292,Jason-Shane Scott
nm0779429,Ken Scott
nm0779923,Zachary Scott
nm0780038,Alexander Scourby
nm0781292,Edward Sedgwick
nm0781477,Paul Seed
nm0781733,Joshua Seftel
nm0781751,Alex Segal
nm0781842,Peter Segal
nm0782597,Lewis Seiler
nm0782627,Trond Espen Seim
nm0782682,William A. Seiter
nm0782707,George B. Seitz
